o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,794,130000,140000,900
taz_21,taz_34,110,130000,140000,900
taz_24,taz_36,610,130000,140000,900
taz_30,taz_34,96,130000,140000,900
taz_30,taz_33,1000,130000,140000,900
taz_30,taz_32,149,130000,140000,900
taz_22,taz_32,357,130000,140000,900
taz_14,taz_32,335,130000,140000,900
taz_16,taz_36,263,130000,140000,900
taz_25,taz_37,1057,130000,140000,900
taz_6,taz_36,32,130000,140000,900
taz_17,taz_37,179,130000,140000,900
taz_23,taz_36,95,130000,140000,900
taz_23,taz_32,159,130000,140000,900
taz_23,taz_35,61,130000,140000,900
taz_31,taz_35,899,130000,140000,900
taz_8,taz_37,196,130000,140000,900
taz_7,taz_37,174,130000,140000,900
taz_15,taz_35,40,130000,140000,900
taz_15,taz_37,261,130000,140000,900
taz_9,taz_37,65,130000,140000,900
taz_0,taz_37,68,130000,140000,900
