o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,404,130000,140000,900
taz_21,taz_34,138,130000,140000,900
taz_24,taz_36,310,130000,140000,900
taz_30,taz_34,1268,130000,140000,900
taz_22,taz_34,190,130000,140000,900
taz_22,taz_33,537,130000,140000,900
taz_22,taz_32,164,130000,140000,900
taz_14,taz_32,836,130000,140000,900
taz_16,taz_36,249,130000,140000,900
taz_16,taz_37,78,130000,140000,900
taz_25,taz_37,539,130000,140000,900
taz_6,taz_32,109,130000,140000,900
taz_17,taz_37,223,130000,140000,900
taz_23,taz_32,46,130000,140000,900
taz_23,taz_35,347,130000,140000,900
taz_31,taz_35,402,130000,140000,900
taz_31,taz_37,56,130000,140000,900
taz_8,taz_37,245,130000,140000,900
taz_7,taz_37,290,130000,140000,900
taz_15,taz_37,374,130000,140000,900
taz_9,taz_37,81,130000,140000,900
taz_0,taz_37,114,130000,140000,900
