o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,718,130000,140000,900
taz_21,taz_34,32,130000,140000,900
taz_21,taz_33,213,130000,140000,900
taz_24,taz_36,305,130000,140000,900
taz_30,taz_33,537,130000,140000,900
taz_30,taz_32,89,130000,140000,900
taz_22,taz_32,440,130000,140000,900
taz_14,taz_32,413,130000,140000,900
taz_16,taz_36,323,130000,140000,900
taz_25,taz_37,531,130000,140000,900
taz_6,taz_36,53,130000,140000,900
taz_17,taz_37,219,130000,140000,900
taz_17,taz_36,1,130000,140000,900
taz_23,taz_36,698,130000,140000,900
taz_31,taz_36,620,130000,140000,900
taz_31,taz_35,193,130000,140000,900
taz_8,taz_35,242,130000,140000,900
taz_7,taz_35,315,130000,140000,900
taz_7,taz_32,201,130000,140000,900
taz_15,taz_32,665,130000,140000,900
taz_9,taz_32,80,130000,140000,900
taz_0,taz_32,112,130000,140000,900
