o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,385,130000,140000,900
taz_21,taz_34,12,130000,140000,900
taz_21,taz_33,120,130000,140000,900
taz_24,taz_36,295,130000,140000,900
taz_30,taz_33,353,130000,140000,900
taz_30,taz_32,252,130000,140000,900
taz_22,taz_32,425,130000,140000,900
taz_14,taz_32,399,130000,140000,900
taz_16,taz_36,312,130000,140000,900
taz_25,taz_37,925,130000,140000,900
taz_6,taz_36,52,130000,140000,900
taz_17,taz_37,384,130000,140000,900
taz_23,taz_36,675,130000,140000,900
taz_31,taz_36,395,130000,140000,900
taz_31,taz_35,391,130000,140000,900
taz_8,taz_37,234,130000,140000,900
taz_7,taz_37,457,130000,140000,900
taz_7,taz_35,10,130000,140000,900
taz_7,taz_32,32,130000,140000,900
taz_15,taz_32,643,130000,140000,900
taz_9,taz_32,140,130000,140000,900
taz_0,taz_32,109,130000,140000,900
