o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,944,130000,140000,900
taz_21,taz_34,223,130000,140000,900
taz_21,taz_33,100,130000,140000,900
taz_24,taz_36,362,130000,140000,900
taz_30,taz_33,741,130000,140000,900
taz_22,taz_33,326,130000,140000,900
taz_22,taz_32,194,130000,140000,900
taz_14,taz_32,489,130000,140000,900
taz_16,taz_36,383,130000,140000,900
taz_25,taz_37,629,130000,140000,900
taz_6,taz_36,63,130000,140000,900
taz_17,taz_37,261,130000,140000,900
taz_23,taz_36,358,130000,140000,900
taz_23,taz_32,101,130000,140000,900
taz_31,taz_35,535,130000,140000,900
taz_8,taz_37,276,130000,140000,900
taz_8,taz_35,11,130000,140000,900
taz_7,taz_35,338,130000,140000,900
taz_15,taz_35,283,130000,140000,900
taz_15,taz_32,155,130000,140000,900
taz_9,taz_32,95,130000,140000,900
taz_0,taz_32,133,130000,140000,900
