o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,27,130000,140000,900
taz_21,taz_33,265,130000,140000,900
taz_24,taz_36,330,130000,140000,900
taz_30,taz_33,458,130000,140000,900
taz_30,taz_32,219,130000,140000,900
taz_22,taz_32,476,130000,140000,900
taz_14,taz_32,55,130000,140000,900
taz_14,taz_36,391,130000,140000,900
taz_16,taz_36,29,130000,140000,900
taz_16,taz_37,320,130000,140000,900
taz_25,taz_37,1034,130000,140000,900
taz_6,taz_37,58,130000,140000,900
taz_17,taz_37,430,130000,140000,900
taz_23,taz_35,420,130000,140000,900
taz_31,taz_35,489,130000,140000,900
taz_8,taz_37,158,130000,140000,900
taz_8,taz_35,104,130000,140000,900
taz_7,taz_35,309,130000,140000,900
taz_15,taz_35,399,130000,140000,900
taz_9,taz_35,157,130000,140000,900
taz_0,taz_35,122,130000,140000,900
