o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,762,130000,140000,900
taz_21,taz_34,238,130000,140000,900
taz_21,taz_33,23,130000,140000,900
taz_24,taz_36,585,130000,140000,900
taz_30,taz_33,664,130000,140000,900
taz_22,taz_33,313,130000,140000,900
taz_22,taz_32,154,130000,140000,900
taz_14,taz_32,438,130000,140000,900
taz_16,taz_36,618,130000,140000,900
taz_25,taz_37,564,130000,140000,900
taz_6,taz_36,57,130000,140000,900
taz_17,taz_37,234,130000,140000,900
taz_23,taz_36,411,130000,140000,900
taz_31,taz_36,329,130000,140000,900
taz_31,taz_35,151,130000,140000,900
taz_8,taz_37,202,130000,140000,900
taz_8,taz_35,262,130000,140000,900
taz_7,taz_35,303,130000,140000,900
taz_15,taz_35,284,130000,140000,900
taz_15,taz_32,108,130000,140000,900
taz_9,taz_32,85,130000,140000,900
taz_0,taz_32,215,130000,140000,900
