o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,718,130000,140000,900
taz_21,taz_34,245,130000,140000,900
taz_24,taz_36,305,130000,140000,900
taz_30,taz_34,37,130000,140000,900
taz_30,taz_33,589,130000,140000,900
taz_22,taz_33,411,130000,140000,900
taz_22,taz_32,29,130000,140000,900
taz_14,taz_32,413,130000,140000,900
taz_16,taz_36,323,130000,140000,900
taz_25,taz_37,531,130000,140000,900
taz_6,taz_36,53,130000,140000,900
taz_17,taz_37,220,130000,140000,900
taz_23,taz_36,319,130000,140000,900
taz_23,taz_32,379,130000,140000,900
taz_31,taz_35,813,130000,140000,900
taz_8,taz_37,242,130000,140000,900
taz_7,taz_37,7,130000,140000,900
taz_7,taz_35,509,130000,140000,900
taz_15,taz_35,665,130000,140000,900
taz_9,taz_35,13,130000,140000,900
taz_9,taz_32,67,130000,140000,900
taz_0,taz_32,112,130000,140000,900
