o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,450,130000,140000,900
taz_21,taz_34,153,130000,140000,900
taz_24,taz_36,344,130000,140000,900
taz_30,taz_34,397,130000,140000,900
taz_30,taz_33,308,130000,140000,900
taz_22,taz_33,496,130000,140000,900
taz_14,taz_33,196,130000,140000,900
taz_14,taz_32,269,130000,140000,900
taz_16,taz_36,364,130000,140000,900
taz_25,taz_37,1000,130000,140000,900
taz_25,taz_36,198,130000,140000,900
taz_6,taz_36,60,130000,140000,900
taz_17,taz_36,34,130000,140000,900
taz_17,taz_35,464,130000,140000,900
taz_23,taz_32,437,130000,140000,900
taz_31,taz_35,509,130000,140000,900
taz_8,taz_35,273,130000,140000,900
taz_7,taz_35,322,130000,140000,900
taz_15,taz_35,417,130000,140000,900
taz_9,taz_35,15,130000,140000,900
taz_9,taz_32,167,130000,140000,900
taz_0,taz_32,127,130000,140000,900
