o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,737,130000,140000,900
taz_21,taz_34,126,130000,140000,900
taz_24,taz_36,566,130000,140000,900
taz_30,taz_34,137,130000,140000,900
taz_30,taz_33,1000,130000,140000,900
taz_30,taz_32,19,130000,140000,900
taz_22,taz_32,406,130000,140000,900
taz_14,taz_32,381,130000,140000,900
taz_16,taz_36,298,130000,140000,900
taz_25,taz_37,982,130000,140000,900
taz_6,taz_36,37,130000,140000,900
taz_17,taz_37,18,130000,140000,900
taz_17,taz_36,186,130000,140000,900
taz_23,taz_36,358,130000,140000,900
taz_31,taz_36,555,130000,140000,900
taz_31,taz_35,279,130000,140000,900
taz_8,taz_35,224,130000,140000,900
taz_7,taz_35,198,130000,140000,900
taz_15,taz_35,299,130000,140000,900
taz_15,taz_32,42,130000,140000,900
taz_9,taz_32,74,130000,140000,900
taz_0,taz_32,78,130000,140000,900
