o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,762,130000,140000,900
taz_21,taz_34,261,130000,140000,900
taz_24,taz_36,585,130000,140000,900
taz_30,taz_34,664,130000,140000,900
taz_22,taz_34,313,130000,140000,900
taz_22,taz_33,154,130000,140000,900
taz_14,taz_33,438,130000,140000,900
taz_16,taz_36,415,130000,140000,900
taz_16,taz_37,203,130000,140000,900
taz_25,taz_37,564,130000,140000,900
taz_6,taz_33,57,130000,140000,900
taz_17,taz_37,233,130000,140000,900
taz_17,taz_35,1,130000,140000,900
taz_23,taz_33,351,130000,140000,900
taz_23,taz_32,60,130000,140000,900
taz_31,taz_35,480,130000,140000,900
taz_8,taz_35,464,130000,140000,900
taz_7,taz_35,55,130000,140000,900
taz_7,taz_32,248,130000,140000,900
taz_15,taz_32,392,130000,140000,900
taz_9,taz_32,85,130000,140000,900
taz_0,taz_32,215,130000,140000,900
