o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,383,130000,140000,900
taz_21,taz_34,175,130000,140000,900
taz_24,taz_36,294,130000,140000,900
taz_30,taz_34,192,130000,140000,900
taz_30,taz_33,410,130000,140000,900
taz_22,taz_33,564,130000,140000,900
taz_14,taz_33,529,130000,140000,900
taz_16,taz_36,415,130000,140000,900
taz_25,taz_37,511,130000,140000,900
taz_6,taz_33,169,130000,140000,900
taz_17,taz_37,239,130000,140000,900
taz_17,taz_36,44,130000,140000,900
taz_23,taz_33,328,130000,140000,900
taz_23,taz_36,170,130000,140000,900
taz_31,taz_36,435,130000,140000,900
taz_8,taz_36,311,130000,140000,900
taz_7,taz_36,331,130000,140000,900
taz_7,taz_35,569,130000,140000,900
taz_15,taz_35,181,130000,140000,900
taz_15,taz_32,293,130000,140000,900
taz_9,taz_32,103,130000,140000,900
taz_0,taz_32,354,130000,140000,900
