o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,397,130000,140000,900
taz_29,taz_33,7,130000,140000,900
taz_21,taz_33,138,130000,140000,900
taz_24,taz_36,310,130000,140000,900
taz_30,taz_33,328,130000,140000,900
taz_30,taz_32,940,130000,140000,900
taz_22,taz_32,891,130000,140000,900
taz_14,taz_32,169,130000,140000,900
taz_14,taz_36,667,130000,140000,900
taz_16,taz_36,327,130000,140000,900
taz_25,taz_37,539,130000,140000,900
taz_6,taz_36,109,130000,140000,900
taz_17,taz_37,223,130000,140000,900
taz_23,taz_36,316,130000,140000,900
taz_23,taz_35,77,130000,140000,900
taz_31,taz_35,324,130000,140000,900
taz_31,taz_37,134,130000,140000,900
taz_8,taz_37,245,130000,140000,900
taz_7,taz_37,290,130000,140000,900
taz_15,taz_37,374,130000,140000,900
taz_9,taz_37,81,130000,140000,900
taz_0,taz_37,114,130000,140000,900
